CALIFORNIA			
Individual Income Tax Returns:  Selected Income and Tax Items by State,  ZIP Code, and Size of Adjusted Gross Income,  Tax Year 2012                                                                                                                                                                                                                                                                                                                                                                                                           			
[Money amounts are in thousands of dollars]			
ZIP code [1]	Size of adjusted gross income	Number of returns	Adjusted gross income (AGI)
94533	$25,000 under $50,000	8120	294278
94533	$50,000 under $75,000	4310	263728
94533	$75,000 under $100,000	2530	218475
94533	$100,000 under $200,000	2980	393789
94533	$200,000 or more	360	120751
			
94534		17,080	1,484,931
94534	$1 under $25,000	4340	51088
94534	$25,000 under $50,000	2830	104799
94534	$50,000 under $75,000	2490	154550
94534	$75,000 under $100,000	2150	186438
94534	$100,000 under $200,000	4070	560460
94534	$200,000 or more	1200	427596
			
94535		2,180	80,763
94535	$1 under $25,000	1060	17722
94535	$25,000 under $50,000	660	23820
94535	$50,000 under $75,000	240	14546
94535	$75,000 under $100,000	130	10938
94535	$100,000 under $200,000	90	13737
94535	$200,000 or more	**	**
			
94536		30,610	2,582,955
94536	$1 under $25,000	8320	101592
94536	$25,000 under $50,000	5680	209476
94536	$50,000 under $75,000	4310	266025
94536	$75,000 under $100,000	3380	294183
94536	$100,000 under $200,000	6470	896493
94536	$200,000 or more	2450	815186
			
94538		28,210	1,956,867
94538	$1 under $25,000	8320	104750
94538	$25,000 under $50,000	5920	217039
94538	$50,000 under $75,000	4110	255566
94538	$75,000 under $100,000	3240	282041
94538	$100,000 under $200,000	5430	741611
94538	$200,000 or more	1190	355860
			
94539		21,870	3,470,910
94539	$1 under $25,000	4820	49842
94539	$25,000 under $50,000	2450	90703
94539	$50,000 under $75,000	1990	123833
94539	$75,000 under $100,000	1730	151416
94539	$100,000 under $200,000	5490	799989
94539	$200,000 or more	5390	2255127
			
94541		27,830	1,298,133
94541	$1 under $25,000	10620	140553
94541	$25,000 under $50,000	7840	285456
94541	$50,000 under $75,000	4320	263378
94541	$75,000 under $100,000	2280	197172
94541	$100,000 under $200,000	2440	320929
94541	$200,000 or more	330	90645
			
94542		5,710	514,015
94542	$1 under $25,000	1560	18474
94542	$25,000 under $50,000	1130	41932
94542	$50,000 under $75,000	780	48567
94542	$75,000 under $100,000	590	50824
94542	$100,000 under $200,000	1100	153185
94542	$200,000 or more	550	201033
			
94544		33,060	1,476,985
94544	$1 under $25,000	13030	174244
94544	$25,000 under $50,000	9670	351081
94544	$50,000 under $75,000	4940	300584
94544	$75,000 under $100,000	2610	224749
94544	$100,000 under $200,000	2500	327126
94544	$200,000 or more	310	99201
			
94545		14,700	799,529
94545	$1 under $25,000	5080	65073
94545	$25,000 under $50,000	3880	142111
94545	$50,000 under $75,000	2300	141117
94545	$75,000 under $100,000	1350	117037
94545	$100,000 under $200,000	1800	238176
94545	$200,000 or more	290	96015
			
94546		21,330	1,470,874
94546	$1 under $25,000	6350	76981
94546	$25,000 under $50,000	4490	166404
94546	$50,000 under $75,000	3470	214264
94546	$75,000 under $100,000	2320	202226
94546	$100,000 under $200,000	3890	531947
94546	$200,000 or more	810	279052
			
94547		11,780	854,333
94547	$1 under $25,000	3120	37859
